Movie Name,Year,Genre
Black Sheep ,1996,"Comedy
"
Nick of Time ,1995,"Action|Thriller
"
"Journey of August King, The ",1995,"Drama
"
Mary Reilly ,1996,"Drama|Thriller
"
Vampire in Brooklyn ,1995,"Comedy|Romance
"
Beautiful Girls ,1996,"Drama
"
Broken Arrow ,1996,"Action|Thriller
"
In the Bleak Midwinter ,1995,"Comedy
"
Hate ,Hain,"Drama
"
Shopping ,1994,"Action|Thriller
"
Heidi Fleiss: Hollywood Madam ,1995,"Documentary
"
City Hall ,1996,"Drama|Thriller
"
Bottle Rocket ,1996,"Comedy
"
Mr. Wrong ,1996,"Comedy
"
Unforgettable ,1996,"Thriller
"
Happy Gilmore ,1996,"Comedy
"
"Bridges of Madison County, The ",1995,"Drama|Romance
"
Nobody Loves Me ,Kein,"Comedy|Drama
"
Muppet Treasure Island ,1996,"Adventure|Children's|Comedy|Musical
"
Catwalk ,1995,"Documentary
"
Headless Body in Topless Bar ,1995,"Comedy
"
Braveheart ,1995,"Action|Drama|War
"
Taxi Driver ,1976,"Drama|Thriller
"
Rumble in the Bronx ,1995,"Action|Adventure|Crime
"
Before and After ,1996,"Drama|Mystery
"
Margaret's Museum ,1995,"Drama
"
Happiness Is in the Field ,1995,"Comedy
"
Anne Frank Remembered ,1995,"Documentary
"
"Young Poisoner's Handbook, The ",1995,"Crime
"
If Lucy Fell ,1996,"Comedy|Romance
"
"Steal Big, Steal Little ",1995,"Comedy
"
Race the Sun ,1996,"Drama
"
"Boys of St. Vincent, The ",1993,"Drama
"
Boomerang ,1992,"Comedy|Romance
"
Chungking Express ,1994,"Drama|Mystery|Romance
"
"Star Maker, The ",Uomo,"Drama
"
Flirting With Disaster ,1996,"Comedy
"
"NeverEnding Story III, The ",1994,"Adventure|Children's|Fantasy
"
"Silence of the Palace, The ",Saim,"Drama
"
Jupiter's Wife ,1994,"Documentary
"
Pie in the Sky ,1995,"Comedy|Romance
"
Angela ,1995,"Drama
"
Frankie Starlight ,1995,"Drama|Romance
"
Jade ,1995,"Thriller
"
Nueba Yol ,1995,"Comedy|Drama
"
Sonic Outlaws ,1995,"Documentary
"
Down Periscope ,1996,"Comedy
"
From the Journals of Jean Seberg ,1995,"Documentary
"
Man of the Year ,1995,"Documentary
"
"Neon Bible, The ",1995,"Drama
"
Target ,1995,"Action|Drama
"
Up Close and Personal ,1996,"Drama|Romance
"
"Birdcage, The ",1996,"Comedy
"
Shadows ,Cien,"Drama
"
Gospa ,1995,"Drama
"
"Brothers McMullen, The ",1995,"Comedy
"
Bad Boys ,1995,"Action
"
"Amazing Panda Adventure, The ",1995,"Adventure|Children's
"
"Basketball Diaries, The ",1995,"Drama
"
"Awfully Big Adventure, An ",1995,"Drama
"
Amateur ,1994,"Crime|Drama|Thriller
"
Apollo 13 ,1995,"Drama
"
Rob Roy ,1995,"Drama|Romance|War
"
"Addiction, The ",1995,"Horror
"
Batman Forever ,1995,"Action|Adventure|Comedy|Crime
"
Belle de jour ,1967,"Drama
"
Beyond Rangoon ,1995,"Drama|War
"
Blue in the Face ,1995,"Comedy
"
Canadian Bacon ,1994,"Comedy|War
"
Casper ,1995,"Adventure|Children's
"
Clockers ,1995,"Drama
"
Congo ,1995,"Action|Adventure|Mystery|Sci-Fi
"
Crimson Tide ,1995,"Drama|Thriller|War
"
Crumb ,1994,"Documentary
"
Desperado ,1995,"Action|Romance|Thriller
"
Devil in a Blue Dress ,1995,"Crime|Film-Noir|Mystery|Thriller
"
Die Hard: With a Vengeance ,1995,"Action|Thriller
"
"Doom Generation, The ",1995,"Comedy|Drama
"
Feast of July ,1995,"Drama
"
First Knight ,1995,"Action|Adventure|Drama|Romance
"
Free Willy 2: The Adventure Home ,1995,"Adventure|Children's|Drama
"
Hackers ,1995,"Action|Crime|Thriller
"
Jeffrey ,1995,"Comedy
"
Johnny Mnemonic ,1995,"Action|Sci-Fi|Thriller
"
Judge Dredd ,1995,"Action|Adventure|Sci-Fi
"
Jury Duty ,1995,"Comedy
"
Kids ,1995,"Drama
"
Living in Oblivion ,1995,"Comedy
"
Lord of Illusions ,1995,"Horror
"
Love & Human Remains ,1993,"Comedy
"
Mad Love ,1995,"Drama|Romance
"
Mallrats ,1995,"Comedy
"
Mighty Morphin Power Rangers: The Movie ,1995,"Action|Children's
"
Moonlight and Valentino ,1995,"Drama|Romance
"
Mute Witness ,1994,"Thriller
"
Nadja ,1994,"Drama
"
"Net, The ",1995,"Sci-Fi|Thriller
"
Nine Months ,1995,"Comedy
"
Party Girl ,1995,"Comedy
"
"Prophecy, The ",1995,"Horror
"
Reckless ,1995,"Comedy
"
Safe ,1995,"Thriller
"
"Scarlet Letter, The ",1995,"Drama
"
"Show, The ",1995,"Documentary
"
Showgirls ,1995,"Drama
"
Smoke ,1995,"Drama
"
Something to Talk About ,1995,"Comedy|Drama|Romance
"
Species ,1995,"Horror|Sci-Fi
"
"Stars Fell on Henrietta, The ",1995,"Drama
"
Strange Days ,1995,"Action|Crime|Sci-Fi
"
"Umbrellas of Cherbourg, The ",Para,"Drama|Musical
"
"Tie That Binds, The ",1995,"Thriller
"
Three Wishes ,1995,"Drama
"
Total Eclipse ,1995,"Drama|Romance
"
"To Wong Foo, Thanks for Everything! Julie Newmar ",1995,"Comedy
"
Under Siege 2: Dark Territory ,1995,"Action
"
Unstrung Heroes ,1995,"Comedy|Drama
"
Unzipped ,1995,"Documentary
"
"Walk in the Clouds, A ",1995,"Drama|Romance
"
Waterworld ,1995,"Action|Adventure
"
White Man's Burden ,1995,"Drama
"
Wild Bill ,1995,"Western
"
"Browning Version, The ",1994,"Drama
"
Bushwhacked ,1995,"Comedy
"
Burnt By the Sun ,Utom,"Drama
"
Before the Rain ,Pred,"Drama
"
Before Sunrise ,1995,"Drama|Romance
"
Billy Madison ,1995,"Comedy
"
"Babysitter, The ",1995,"Drama|Thriller
"
Boys on the Side ,1995,"Comedy|Drama
"
"Cure, The ",1995,"Drama
"
Castle Freak ,1995,"Horror
"
Circle of Friends ,1995,"Drama|Romance
"
Clerks ,1994,"Comedy
"
Don Juan DeMarco ,1995,"Comedy|Drama|Romance
"
Disclosure ,1994,"Drama|Thriller
"
Dream Man ,1995,"Thriller
"
Drop Zone ,1994,"Action
"
Destiny Turns on the Radio ,1995,"Comedy
"
Death and the Maiden ,1994,"Drama|Thriller
"
Dolores Claiborne ,1994,"Drama|Thriller
"
Dumb & Dumber ,1994,"Comedy
"
Eat Drink Man Woman ,1994,"Comedy|Drama
"
Exotica ,1994,"Drama
"
Exit to Eden ,1994,"Comedy
"
Ed Wood ,1994,"Comedy|Drama
"
French Kiss ,1995,"Comedy|Romance
"
Forget Paris ,1995,"Comedy|Romance
"
Far From Home: The Adventures of Yellow Dog ,1995,"Adventure|Children's
"
"Goofy Movie, A ",1995,"Animation|Children's|Comedy|Romance
"
Hideaway ,1995,"Thriller
"
Fluke ,1995,"Children's|Drama
"
Farinelli: il castrato ,1994,"Drama|Musical
"
Gordy ,1995,"Comedy
"
Gumby: The Movie ,1995,"Animation|Children's
"
"Glass Shield, The ",1994,"Crime|Drama
"
Hoop Dreams ,1994,"Documentary
"
Heavenly Creatures ,1994,"Drama|Fantasy|Romance|Thriller
"
Houseguest ,1994,"Comedy
"
Immortal Beloved ,1994,"Drama|Romance
"
Heavyweights ,1994,"Children's|Comedy
"
"Hunted, The ",1995,"Action
"
I.Q. ,1994,"Comedy|Romance
"
Interview with the Vampire ,1994,"Drama|Horror
"
Jefferson in Paris ,1995,"Drama
"
"Jerky Boys, The ",1994,"Comedy
"
Junior ,1994,"Comedy|Sci-Fi
"
Just Cause ,1995,"Mystery|Thriller
"
"Kid in King Arthur's Court, A ",1995,"Adventure|Children's|Comedy|Fantasy|Romance
"
Kiss of Death ,1995,"Crime|Drama|Thriller
"
Star Wars: Episode IV - A New Hope ,1977,"Action|Adventure|Fantasy|Sci-Fi
"
Little Women ,1994,"Drama
"
"Little Princess, A ",1995,"Children's|Drama
"
Ladybird Ladybird ,1994,"Drama
"
"Enfer, L' ",1994,"Drama
"
Like Water for Chocolate ,Como,"Drama|Romance
"
Legends of the Fall ,1994,"Drama|Romance|War|Western
"
Major Payne ,1994,"Comedy
"
Little Odessa ,1994,"Drama
"
My Crazy Life ,Mi v,"Drama
"
Love Affair ,1994,"Drama|Romance
"
Losing Isaiah ,1995,"Drama
"
"Madness of King George, The ",1994,"Drama
"
Mary Shelley's Frankenstein ,1994,"Drama|Horror
"
Man of the House ,1995,"Comedy
"
Mixed Nuts ,1994,"Comedy
"
Milk Money ,1994,"Comedy|Romance
"
Miracle on 34th Street ,1994,"Drama
"
Miami Rhapsody ,1995,"Comedy
"
My Family ,1995,"Drama
"
Murder in the First ,1995,"Drama|Thriller
"
Nobody's Fool ,1994,"Drama
"
Nell ,1994,"Drama
"
New Jersey Drive ,1995,"Crime|Drama
"
New York Cop ,1996,"Action|Crime
"
Beyond Bedlam ,1993,"Drama|Horror
"
Nemesis 2: Nebula ,1995,"Action|Sci-Fi|Thriller
"
Nina Takes a Lover ,1994,"Comedy|Romance
"
Natural Born Killers ,1994,"Action|Thriller
"
Only You ,1994,"Comedy|Romance
"
Once Were Warriors ,1994,"Crime|Drama
"
Poison Ivy II ,1995,"Thriller
"
Outbreak ,1995,"Action|Drama|Thriller
"
"Professional, The ",a.k.,"Crime|Drama|Romance|Thriller
"
"Perez Family, The ",1995,"Comedy|Romance
"
"Pyromaniac's Love Story, A ",1995,"Comedy|Romance
"
Pulp Fiction ,1994,"Crime|Drama
"
Panther ,1995,"Drama
"
Pushing Hands ,1992,"Comedy
"
Priest ,1994,"Drama
"
Quiz Show ,1994,"Drama
"
Picture Bride ,1995,"Drama|Romance
"
Queen Margot ,La R,"Drama|Romance
"
"Quick and the Dead, The ",1995,"Action|Adventure|Western
"
Roommates ,1995,"Comedy|Drama
"
Ready to Wear ,Pret,"Comedy
"
Three Colors: Red ,1994,"Drama
"
Three Colors: Blue ,1993,"Drama
"
Three Colors: White ,1994,"Drama
"
"Red Firecracker, Green Firecracker ",1994,"Drama
"
Rent-a-Kid ,1995,"Comedy
"
Relative Fear ,1994,"Horror|Thriller
"
Stuart Saves His Family ,1995,"Comedy
"
"Swan Princess, The ",1994,"Animation|Children's
"
"Secret of Roan Inish, The ",1994,"Drama
"
"Specialist, The ",1994,"Action
"
Stargate ,1994,"Action|Adventure|Sci-Fi
"
"Santa Clause, The ",1994,"Children's|Comedy|Fantasy
"
"Shawshank Redemption, The ",1994,"Drama
"
Shallow Grave ,1994,"Thriller
"
Suture ,1993,"Film-Noir|Thriller
"
Strawberry and Chocolate ,Fres,"Drama
"
Swimming with Sharks ,1995,"Comedy|Drama
"
"Sum of Us, The ",1994,"Comedy
"
National Lampoon's Senior Trip ,1995,"Comedy
"
To Live ,Huoz,"Drama
"
Tank Girl ,1995,"Action|Comedy|Musical|Sci-Fi
"
Tales From the Crypt Presents: Demon Knight ,1995,"Horror
"
Star Trek: Generations ,1994,"Action|Adventure|Sci-Fi
"
Tales from the Hood ,1995,"Comedy|Horror
"
Tom & Viv ,1994,"Drama
"
Village of the Damned ,1995,"Horror|Sci-Fi
"
Tommy Boy ,1995,"Comedy
"
Vanya on 42nd Street ,1994,"Drama
"
"Underneath, The ",1995,"Mystery|Thriller
"
"Walking Dead, The ",1995,"Drama|War
"
What's Eating Gilbert Grape ,1993,"Drama
"
Virtuosity ,1995,"Sci-Fi|Thriller
"
While You Were Sleeping ,1995,"Comedy|Romance
"
"War, The ",1994,"Adventure|Drama
"
Double Happiness ,1994,"Drama
"
Muriel's Wedding ,1994,"Comedy|Romance
"
"Baby-Sitters Club, The ",1995,"Children's
"
Ace Ventura: Pet Detective ,1994,"Comedy
"
"Adventures of Priscilla, Queen of the Desert, The ",1994,"Comedy|Drama
"
Backbeat ,1993,"Drama|Musical
"
Bitter Moon ,1992,"Drama
"
Bullets Over Broadway ,1994,"Comedy
"
Clear and Present Danger ,1994,"Action|Adventure|Thriller
"
"Client, The ",1994,"Drama|Mystery|Thriller
"
"Corrina, Corrina ",1994,"Comedy|Drama|Romance
"
Crooklyn ,1994,"Comedy
"
"Crow, The ",1994,"Action|Romance|Thriller
"
Cobb ,1994,"Drama
"
"Flintstones, The ",1994,"Children's|Comedy
"
Forrest Gump ,1994,"Comedy|Romance|War
"
Four Weddings and a Funeral ,1994,"Comedy|Romance
"
Higher Learning ,1995,"Drama
"
I Like It Like That ,1994,"Comedy|Drama|Romance
"
I Love Trouble ,1994,"Action|Comedy
"
It Could Happen to You ,1994,"Drama|Romance
"
"Jungle Book, The ",1994,"Adventure|Children's|Romance
"
"Wonderful, Horrible Life of Leni Riefenstahl, The ",Die ,"Documentary
"
"Lion King, The ",1994,"Animation|Children's|Musical
"
Little Buddha ,1993,"Drama
"
Wes Craven's New Nightmare ,1994,"Horror
"
"Mask, The ",1994,"Comedy|Crime|Fantasy
"
Maverick ,1994,"Action|Comedy|Western
"
Mrs. Parker and the Vicious Circle ,1994,"Drama
"
Naked Gun 33 1/3: The Final Insult ,1994,"Comedy
"
"Paper, The ",1994,"Comedy|Drama
"
Reality Bites ,1994,"Comedy|Drama
"
Red Rock West ,1992,"Thriller
"
Richie Rich ,1994,"Children's|Comedy
"
Safe Passage ,1994,"Drama
"
"River Wild, The ",1994,"Action|Thriller
"
Speed ,1994,"Action|Romance|Thriller
"
Speechless ,1994,"Comedy|Romance
"
Timecop ,1994,"Action|Sci-Fi
"
True Lies ,1994,"Action|Adventure|Comedy|Romance
"
When a Man Loves a Woman ,1994,"Drama
"
Wolf ,1994,"Drama|Horror
"
Wyatt Earp ,1994,"Western
"
Bad Company ,1995,"Action
"
"Man of No Importance, A ",1994,"Drama
"
S.F.W. ,1994,"Drama
"
"Low Down Dirty Shame, A ",1994,"Action|Comedy
"
Boys Life ,1995,"Drama
"
"Colonel Chabert, Le ",1994,"Drama|Romance|War
"
Faster Pussycat! Kill! Kill! ,1965,"Action|Comedy|Drama
"
Jason's Lyric ,1994,"Crime|Drama
"
"Secret Adventures of Tom Thumb, The ",1993,"Adventure|Children's
"
Street Fighter ,1994,"Action
"
Coldblooded ,1995,"Action
"
Desert Winds ,1995,"Drama
"
Fall Time ,1995,"Drama
"
"Fear, The ",1995,"Horror
"
Frank and Ollie ,1995,"Documentary
"
Girl in the Cadillac ,1995,"Drama
"
Homage ,1995,"Drama
"
Mirage ,1995,"Action|Thriller
"
Open Season ,1996,"Comedy
"
Two Crimes ,1995,"Comedy|Crime|Drama
"
Brother Minister: The Assassination of Malcolm X ,1994,"Documentary
"
Highlander III: The Sorcerer ,1994,"Action|Sci-Fi
"
Federal Hill ,1994,"Drama
"
In the Mouth of Madness ,1995,"Horror|Thriller
"
8 Seconds ,1994,"Drama
"
Above the Rim ,1994,"Drama
"
Addams Family Values ,1993,"Comedy
"
You So Crazy ,1994,"Comedy
"
"Age of Innocence, The ",1993,"Drama
"
Airheads ,1994,"Comedy
"
"Air Up There, The ",1994,"Comedy
"
Another Stakeout ,1993,"Comedy|Thriller
"
Bad Girls ,1994,"Western
"
Barcelona ,1994,"Comedy|Romance
"
Being Human ,1993,"Drama
"
"Beverly Hillbillies, The ",1993,"Comedy
"
Beverly Hills Cop III ,1994,"Action|Comedy
"
Black Beauty ,1994,"Adventure|Children's
"
Blink ,1994,"Thriller
"
Blown Away ,1994,"Action|Thriller
"
Blue Chips ,1994,"Drama
"
Blue Sky ,1994,"Drama|Romance
"
Body Snatchers ,1993,"Horror|Sci-Fi|Thriller
"
Boxing Helena ,1993,"Mystery|Romance|Thriller
"
"Bronx Tale, A ",1993,"Drama
"
Cabin Boy ,1994,"Comedy
"
Calendar Girl ,1993,"Drama
"
Carlito's Way ,1993,"Crime|Drama
"
City Slickers II: The Legend of Curly's Gold ,1994,"Comedy|Western
"
Clean Slate ,1994,"Comedy
"
Cliffhanger ,1993,"Action|Adventure|Crime
"
Coneheads ,1993,"Comedy|Sci-Fi
"
Color of Night ,1994,"Drama|Thriller
"
Cops and Robbersons ,1994,"Comedy
"
"Cowboy Way, The ",1994,"Action|Comedy
"
Dangerous Game ,1993,"Drama
"
Dave ,1993,"Comedy|Romance
"
Dazed and Confused ,1993,"Comedy
"
Demolition Man ,1993,"Action|Sci-Fi
"
"Endless Summer 2, The ",1994,"Documentary
"
Even Cowgirls Get the Blues ,1993,"Comedy|Romance
"
Fatal Instinct ,1993,"Comedy
"
Farewell My Concubine ,1993,"Drama|Romance
"
"Favor, The ",1994,"Comedy|Romance
"
Fearless ,1993,"Drama
"
Fear of a Black Hat ,1993,"Comedy
"
With Honors ,1994,"Comedy|Drama
"
Flesh and Bone ,1993,"Drama|Mystery|Romance
"
Widows' Peak ,1994,"Drama
"
For Love or Money ,1993,"Comedy
"
"Firm, The ",1993,"Drama|Thriller
"
Free Willy ,1993,"Adventure|Children's|Drama
"
Fresh ,1994,"Drama
"
"Fugitive, The ",1993,"Action|Thriller
"
Geronimo: An American Legend ,1993,"Drama|Western
"
"Getaway, The ",1994,"Action
"
Getting Even with Dad ,1994,"Comedy
"
Go Fish ,1994,"Drama|Romance
"
"Good Man in Africa, A ",1994,"Action|Adventure
"
Guilty as Sin ,1993,"Crime|Drama|Thriller
"
Hard Target ,1993,"Action|Adventure|Crime|Thriller
"
Heaven & Earth ,1993,"Action|Drama|War
"
Hot Shots! Part Deux ,1993,"Action|Comedy|War
"
Live Nude Girls ,1995,"Comedy
"
"Englishman Who Went Up a Hill, But Came Down a Mountain, The ",1995,"Comedy|Romance
"
"House of the Spirits, The ",1993,"Drama|Romance
"
House Party 3 ,1994,"Comedy
"
"Hudsucker Proxy, The ",1994,"Comedy|Romance
"
I'll Do Anything ,1994,"Comedy|Drama
"
In the Army Now ,1994,"Comedy|War
"
In the Line of Fire ,1993,"Action|Thriller
"
In the Name of the Father ,1993,"Drama
"
"Inkwell, The ",1994,"Comedy|Drama
"
What's Love Got to Do with It? ,1993,"Drama
"
Jimmy Hollywood ,1994,"Comedy
"
Judgment Night ,1993,"Action
"
Jurassic Park ,1993,"Action|Adventure|Sci-Fi
"
Kalifornia ,1993,"Drama|Thriller
"
Killing Zoe ,1994,"Thriller
"
King of the Hill ,1993,"Drama
"
Lassie ,1994,"Adventure|Children's
"
Last Action Hero ,1993,"Action|Comedy
"
Life with Mikey ,1993,"Comedy
"
Lightning Jack ,1994,"Comedy|Western
"
M. Butterfly ,1993,"Drama
"
Made in America ,1993,"Comedy
"
Malice ,1993,"Thriller
"
"Man Without a Face, The ",1993,"Drama
"
Manhattan Murder Mystery ,1993,"Comedy|Mystery
"
Menace II Society ,1993,"Action|Crime|Drama
"
Executive Decision ,1996,"Action|Thriller
"
In the Realm of the Senses ,Ai n,"Drama
"
What Happened Was... ,1994,"Comedy|Drama|Romance
"
Much Ado About Nothing ,1993,"Comedy|Romance
"
Mr. Jones ,1993,"Drama|Romance
"
Mr. Wonderful ,1993,"Comedy|Romance
"
Mrs. Doubtfire ,1993,"Comedy
"
Naked ,1993,"Drama
"
"Next Karate Kid, The ",1994,"Action|Children's
"
"New Age, The ",1994,"Drama
"
No Escape ,1994,"Action|Sci-Fi
"
North ,1994,"Comedy
"
Orlando ,1993,"Drama
"
"Perfect World, A ",1993,"Action|Drama
"
Philadelphia ,1993,"Drama
"
"Piano, The ",1993,"Drama|Romance
"
Poetic Justice ,1993,"Drama
"
"Program, The ",1993,"Action|Drama
"
Robert A. Heinlein's The Puppet Masters ,1994,"Horror|Sci-Fi
"
Radioland Murders ,1994,"Comedy|Mystery|Romance
"
"Ref, The ",1994,"Comedy
"
"Remains of the Day, The ",1993,"Drama
"
Renaissance Man ,1994,"Comedy|Drama|War
"
Rising Sun ,1993,"Action|Drama|Mystery
"
"Road to Wellville, The ",1994,"Comedy
"
Robocop 3 ,1993,"Sci-Fi|Thriller
"
Robin Hood: Men in Tights ,1993,"Comedy
"
Romeo Is Bleeding ,1993,"Crime|Thriller
"
Romper Stomper ,1992,"Action|Drama
"
Ruby in Paradise ,1993,"Drama
"
Rudy ,1993,"Drama
"
"Saint of Fort Washington, The ",1993,"Drama
"
Savage Nights ,Nuit,"Drama
"
Schindler's List ,1993,"Drama|War
"
"Scout, The ",1994,"Drama
"
Searching for Bobby Fischer ,1993,"Drama
"
Second Best ,1994,"Drama
"
"Secret Garden, The ",1993,"Children's|Drama
"
Serial Mom ,1994,"Comedy|Crime|Horror
"
"Shadow, The ",1994,"Action
"
Shadowlands ,1993,"Drama|Romance
"
Short Cuts ,1993,"Drama
"
"Simple Twist of Fate, A ",1994,"Drama
"
Sirens ,1994,"Comedy|Drama
"
Six Degrees of Separation ,1993,"Drama
"
Sleepless in Seattle ,1993,"Comedy|Romance
"
Sliver ,1993,"Thriller
"
Blade Runner ,1982,"Film-Noir|Sci-Fi
"
Son in Law ,1993,"Comedy
"
So I Married an Axe Murderer ,1993,"Comedy|Romance|Thriller
"
Striking Distance ,1993,"Action
"
Harlem ,1993,"Drama
"
Super Mario Bros. ,1993,"Action|Adventure|Children's|Sci-Fi
"
Surviving the Game ,1994,"Action|Adventure|Thriller
"
Terminal Velocity ,1994,"Action
"
Thirty-Two Short Films About Glenn Gould ,1993,"Documentary
"
Threesome ,1994,"Comedy|Romance
"
"Nightmare Before Christmas, The ",1993,"Children's|Comedy|Musical
"
"Three Musketeers, The ",1993,"Action|Adventure|Comedy
"
Tombstone ,1993,"Western
"
Trial by Jury ,1994,"Thriller
"
True Romance ,1993,"Action|Crime|Romance
"
"War Room, The ",1993,"Documentary
"
Mamma Roma ,1962,"Drama
"
"Pagemaster, The ",1994,"Action|Adventure|Animation|Children's|Fantasy
"
"Paris, France ",1993,"Comedy
"
"Beans of Egypt, Maine, The ",1994,"Drama
"
Killer ,Bull,"Thriller
"
Welcome to the Dollhouse ,1995,"Comedy|Drama
"
Germinal ,1993,"Drama
"
Chasers ,1994,"Comedy
"
Cronos ,1992,"Horror
"
Naked in New York ,1994,"Comedy|Romance
"
Kika ,1993,"Drama
"
Bhaji on the Beach ,1993,"Comedy|Drama
"
Little Big League ,1994,"Children's|Comedy
"
"Slingshot, The ",Kådi,"Comedy|Drama
"
"Wedding Gift, The ",1994,"Drama
"
Foreign Student ,1994,"Drama
"
"Ciao, Professore! ",Io s,"Drama
"
Spanking the Monkey ,1994,"Comedy|Drama
"
"Little Rascals, The ",1994,"Children's|Comedy
"
Fausto ,1993,"Comedy
"
Andre ,1994,"Adventure|Children's
"
"Hour of the Pig, The ",1993,"Drama|Mystery
"
"Scorta, La ",1993,"Thriller
"
Princess Caraboo ,1994,"Drama
"
"Celluloid Closet, The ",1995,"Documentary
"
Metisse ,Café,"Comedy
"
Dear Diary ,Caro,"Comedy|Drama
"
I Don't Want to Talk About It ,De e,"Drama
"
"Brady Bunch Movie, The ",1995,"Comedy
"
Home Alone ,1990,"Children's|Comedy
"
Ghost ,1990,"Comedy|Romance|Thriller
"
Aladdin ,1992,"Animation|Children's|Comedy|Musical
"
Terminator 2: Judgment Day ,1991,"Action|Sci-Fi|Thriller
"
Dances with Wolves ,1990,"Adventure|Drama|Western
"
Tough and Deadly ,1995,"Action|Drama|Thriller
"
Batman ,1989,"Action|Adventure|Crime|Drama
"
"Silence of the Lambs, The ",1991,"Drama|Thriller
"
Snow White and the Seven Dwarfs ,1937,"Animation|Children's|Musical
"
Beauty and the Beast ,1991,"Animation|Children's|Musical
"
Pinocchio ,1940,"Animation|Children's
"
Pretty Woman ,1990,"Comedy|Romance
"
Window to Paris ,1994,"Comedy
"
"Wild Bunch, The ",1969,"Western
"
Love and a .45 ,1994,"Thriller
"
"Wooden Man's Bride, The ",Wu K,"Drama
"
